kb_number,short_description,introduction,instructions,article_body
KB00031306,How to resolve issue arises when a KONE user re-join the organization and their profile is mapped to the previous account email address that still has shared files associated with it.,This KBA is published Only for Kone Way Users How to fix the problem related to OneDrive and Teams file sharing Purpose The purpose of this document is to provide a clear understanding of why the error” You do not have permission to download this file” occurs and outline the steps required to correct caching and access problems related to OneDrive and Teams file sharing.,"Issue Description This issue arises when a KONE user re-join the organization and their profile is mapped to the previous account email address that still has shared files associated with it. Solution Suggest for new email address creation, OR Ask the users to remove you and re-add you in their OneDrive sharing settings, then verify the behavior. Steps to Remove Cached Access of affected user from OneDrive Open the link: https://outlook.office365.com/owa/ Open OneDrive → go to Settings (gear icon) Select OneDrive Settings → More Settings Go to Site Collection Administrators Select People and Groups Search and select the username, choose 'Actions', and delete the user from Site Collections If the SOP does not resolve the issue, please raise a support ticket so we can assist you further.",
KB00031312,How to raise incidents in AskIT portal for Technician Assistant application,How to raise incidents in AskIT portal for Technician Assistant application,"Log into AskIT Click on “Something doesn’t work”. Fill in all the required details In field “Please pick the service which is not working” - Select: ""Technician Assistant"" (This field is not mandatory) Submit the form. New ticket will be created. You can search your incident in the menu bar under “My Requests” to follow the actions.",
KB00031313,ASK IT - Instruction for ticket assignment related to Technician Assistant,How to identify and route the tickets related to the remote maintenance solutions?,"How to identify and route the tickets related to the remote maintenance solutions? When tickets are related to Technician Assistant features, functionality, access, or performance, they must be assigned to: Assignment Group: KONE R&D Onsite & Field Maintenance Tribe Ops This is a catch-and-dispatch use case for the ASK IT team. No troubleshooting is required. Technician Assistant (TA) is not responding Technician Assistant (TA) is showing an error message Technician Assistant (TA) is not loading Technician Assistant (TA) login/access failure Technician Assistant (TA) feature not visible Technician Assistant (TA) commands failing Technician Assistant (TA) data not updating Technician Assistant (TA) system slow or unstable Technician Assistant (TA) integration issue Technician Assistant (TA) configuration issue",
KB00031314,DOS-IES-User can't be able to Accept or reject the network,If you user try accept or reject the network. they facing issue given below screenshot.,For this type of issue we need to follow the below steps. Step 1: Go to AWS portal : AWS access portal (awsapps.com) then go to ies-app-prod-installations-persistent-installations-table Step 2: Search the particular network number and filter the value as ASS Now check the activityDifferentiator column if its mentioned SEEN (Service engineering) Step 3: now filter the value NET and click the network for details Now you can able to see the delegatedSupervisorNumber and we must remove that row so click that Remove option and save it.,
KB00031315,SAP GRP User Creation – Process Document,"The purpose of this document is to define and formalize the process for creating new users or modifying access for existing users in the SAP GRC – GRP production system. It outlines the standardized procedures to be followed, ensuring consistency, compliance, and proper authorization in user management activities within the SAP GRP environment.","Request Types for SAP GRP system access The KONE SAP Security and GRC team manages requests that involve the creation of new users or the modification of existing access within the SAP GRP system. These requests typically include: Creation of new users for Infosys consultants (FF access - YGRCC:ACC_FFU_GLB, ABAP access - YGRCC:ABP_DEV_GLB) Creation of new users for Line Managers (Manager access - YGRCC:ACC_LMG_GLB) Creation of new users for Role Approvers, Risk Owners, Firefighter (FF) Owners, and FF Controllers Modification of existing users to assign the appropriate User Group (UG) for new Role Approvers, Risk Owners, FF Owners, and FF Controllers User Creation and Access Modification in SAP GRC – GRP System As the SAP GRC – GRP system is considered a crown jewel application and falls under audit scope, manual user creation directly within the system is strictly prohibited. The only exception is the creation of Line Managers for GRC approval of their direct reportees, which is addressed later in this section. All requests for new user creation or modification of existing user access in the SAP GRP system must be submitted through a GRC Access Request. This ensures proper approvals, compliance, and audit trail maintenance. For Infosys consultants, the functional area to be selected when raising GRC Access Requests must be “KONE IT” (and not “Infosys Employees”), in line with the current structure of the Decision Table. For business/end users requiring assignment of Role Owner or Risk Owner User Groups (UG), either during new user creation or when replacing a Line Manager UG with the approver UG ( YGRCC:ACC_APR_GLB ), the functional area to be selected must be “Global.” Exception Case: A custom program (ZLDAP_READ) is scheduled to run daily, automatically creating Line Managers directly in the SAP GRP system. This ensures that if a GRC Access Request is raised for any of their direct reportees, the Line Managers can approve the request during the Manager stage of the MSMP workflow. However, there may be instances where incidents or emails are received from end users reporting that they are unable to submit a GRC request because the user’s manager is not present in the GRP system. In such cases, the manager may be manually created in the GRP system with the assignment of the User Group YGRCC:ACC_LMG_GLB . This manual creation must always be supported by a valid SNOW ticket number or email from the user.",
KB00031316,SPD - How to fix the value of MCC Impacts 2025 LC in SPD reports,SPD - How to fix the value of MCC Impacts 2025 LC in SPD reports,"Login the database. Test: 10.41.148.235\SEKO60Q,51018 Prod: 10.39.67.11\SEKO021P,51001 Check the values for MCC Impacts 2025 LC for the project. The formula for MCC Impacts 2025LC is (v_Cdty_KONE_discountDATA.Discount * Cdty_KONE_reportMCCImpactsMonthly.[Volume (Tonne)] / 1000). By using the above formula the value received was incorrect, so need to check the v_Cdty_KONE_discountData table to check if there is any discrepancy. For checking the table with project details we would require HeaderID. Use the below query to get the HeaderID. select * from Cdty_KONEHeader where SPDProjectCodeDiscount = 'ELK5478' With the ID check the v_Cdty_KONE_discountData table using the below query. select * from v_Cdty_KONE_discountDATA where HeaderID = 6587 There were duplicate values in the v_Cdty_KONE_discountDATA and we need to check in table Cdty_KONEDiscount using the below query. Delete the duplicate values with 0 in Cdty_KONEDiscount table and check the table and report whether the values are correct in MCC Impacts 2025LC.",
KB00031317,SPD - How to fix the value of MCC Impacts 2025 PC in SPD reports,SPD - How to fix the value of MCC Impacts 2025 PC in SPD reports,"Login the database. Test: 10.41.148.235\SEKO60Q,51018 Prod: 10.39.67.11\SEKO021P,51001 Check the values for MCC Impacts 2025 LC for the project. Check the table Cdty_KONE_reportMCCImpactsMonthly with normal project to check if there are any values. select * from Cdty_KONE_reportMCCImpactsMonthly where [spd project code] = 'ELK6258' and [volume (tonne)] in( 1 , 0 ) Delete the entries in the table Cdty_KONE_reportMCCImpactsMonthly using the below query and check the report if the MCC Impact 2025 (PC) value is correct. delete from Cdty_KONE_reportMCCImpactsMonthly where [spd project code] = 'ELK6258' and [volume (tonne)] in( 1 , 0 )",
KB00031318,How to Remove User access in Minerva Mobile Application.,"Overview This document outlines the process for Remove access in Minerva Mobile. The access provider must have the necessary permissions to Remove user access within the Minerva application. Prerequisites Before proceeding with deletion, ensure the following prerequisites are met: Admin Access: The access provider must have admin access to the Minerva application and the MM servers and the admin site. QA Site - http://euhcimsdnet302.konenet.com:5300/Administration/EditUser.aspx PROD Site - http://euhcimsdnet402.konenet.com:5300/Administration/EditUser.aspx Server - EUHCIMSSQL207\SEKO021P Request Source: The request must originate from the Myaccess in SNOW.","Step-by-Step Process for Deletion Step 1: Update the details in MM Site Navigate to the Minerva Site and click on edit admin user in the specified environment (either QA or PROD). Search the userID and select the “user blocked” option to disable the access for the user Step 2: Update the details in MM Server Go to Server EUHCIMSSQL207\SEKO021P and run the below query If the user is not Admin, only removing the access from DB is necessary. Users with Admin, administration access , must be blocked from the Minerva site as well. Conclusion By following the above steps, the Access Deletion for the specified country will be completed. For Minerva Mobile, we only disable the access for the userID and do not completely delete the user data from site or from DB server.",
KB00031319,How to re enroll Windows devices in Intune,"This guide provides a standardized process for the RDS Team, Service Desk, and Device Management teams to troubleshoot and resolve Intune Windows client connectivity issues. It starts by verifying the device's connection through Access Work or School settings and the Last check-in timestamp in the Intune portal, while confirming that Intune sync completes without errors. If sync issues persist or timestamps are missing/outdated, initiate re-enrollment by checking Azure AD join status ( dsregcmd /status ), removing outdated certificates, and clearing related registry entries. Finally, rejoin Azure AD to trigger automatic Intune re-enrollment within 2-3 hours, restoring full management and compliance.","Audience – RDS Team, ASKIT, Device Management Purpose- Below troubleshooting steps to be followed to remediate Intune windows clients 1. Take remote session of the device and open Access Work or School from settings 2. Expand KONENET.COM and click on info 3. On the next page drop down the page and check if sync is processing without errors like below 4.If you see sync is showing error code after sync process then follow reenrollment process If you don’t see info button under KONENET as per below picture then you need to reenroll device to Intune. Follow the process to re-enroll to Intune 1. Open command prompt as Administrator and run DSREGCMD /STATUS 2.Check the status of AAD join in the result if AzureADjoined as yes (it should show Yes) And note down last 6 characters of device ID that will use to identify registry hive 3.Perform dsregcmd /leave and run dsregcmd /status to check AzureADJoined should show as No 4.Run certlm.msc on command prompt that will open local computer snippet 5.Double click on Personal > Certificates and if its showing below yellow color highlighted issue by certificates as per device ID , right click on each and remove , keep the other certificates as it is. 6.Type regedit on same command prompt and that will open regeditor and navigate to Computer\HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Enrollments and expand all the sub keys where you see MS DM Server and your device id is matching with EntDeviceName value which is highlighted below in blue arrow. 7. When you find correct key then you need to delete the key which is highlighted with yellow. 8.After deleting the identified key (folder) , Restart the computer and again open CMD with administrator 9.On CMD check the aad join status by dsregcmd /status and if you see domain join automatically changed to yes so no need to run step number 12 command else you need to run it. 10.To join aad you need to run dsregcmd /join and restart the computer 11.Once device is joined to domain you will need to verify certificate using certlm.msc command 12.The certificate you removed will be automatically reappear related to MS -Organization issue type 13.Intune enrollment is automatically perform after you join Azure AD successfully perhaps you can enforce it by opening work and school under settings and follow step no 1 to 4 from first part of this article. 14.Intune auto enrollment take 2 – 3 hours to appear the computer on Intune portal after above process and it quickly appears in Entra portal after re-join to Entra 15.request user to keep the device online so sync will occur quickly and assigned policy / apps will take place 16.as a best practice inform user to logout user session and login back 17.if you want to see if the device is reporting to Intune so open Intune portal and search device for its checking time as per below screenshot",
KB00031321,ASKIT - How to Apply for PDM access for different Environments?,This article guides end users on how to request access to different environments in PDM.,"In PDM, we have four distinct environments: PROD (Production), DQ (Data Quality), QA (Quality Assurance), and DEV (Development). Below, you’ll find details on the purpose of each environment and the process for requesting access. Environment Usage How to apply PROD [Production] Applicable to end users, this system enables work within the Production Environment. KB0000A410 DQ [Data Quality] The DQ environment is a replica of the Production system and is primarily used for business testing. You do not need to apply separately for DQ access. Once Production access is granted, your account will be automatically created after the next DQ refresh (typically performed monthly). In case of urgent requirements, please raise an askIT ticket with the PDM team to request DQ access. QA [Quality Assurance] The QA environment is reserved for IT purposes only. It is used exclusively by developers and the PDM IT support team for deployments, testing, and related activities. Please note that the QA environment is not intended for end users. It is designated solely for IT operations and developers. If an end user requires QA access, they must submit an askIT ticket to request it. Dev [Development] The DEV environment is used by PDM team developers for deployments. This system is strictly not intended for end users.",
KB00031323,IT - How to provide the access to the End user's in Different Environment's of PDM?,This article is intended to assist the PDM Operational Support team in providing access to end users.,"In PDM, there are four different environments: Production (PROD), Data Quality (DQ), Quality Assurance (QA), and Development (DEV). PDM Production (PROD) Usage: For end users to perform business operations in the live environment. Access Process: End users requesting Production access must apply through the registration form by referencing KBA : KB0000A410 . Approval: Required via the registration process. PDM Data Quality (DQ) Usage: Replica of the Production environment, used for business testing and validation. Access Process: Accounts are automatically created after the next DQ refresh (typically monthly). In urgent cases, accounts can be created using the export/import method. Approval: No approval is required. However, users are encouraged to wait for the scheduled DQ refresh for automatic account creation. PDM Quality Assurance (QA) Usage: Reserved for IT support, operational teams, and developers for testing and deployments. Not intended for end user usage. Guidance: End users should instead use the DQ environment for business validation. Access Process: If an end user requires QA access, the application operational team must validate the business reason. If valid, accounts can be created using the export/import method. Approval: No separate approval required; validation is handled internally by the application operational team. Account might have pdm_tester privilege in both epdm_prod and epdm_qa and also Entra ID Object ID also mandatory to the qa accounts. PDM Development (DEV) Usage: Dedicated to the development team for deployments and development activities. Access Process: Not available to end users. Approval: Not applicable.",
KB00031325,SPD - How to fix if a particular Savings Type setting pops error,SPD - How to fix if a particular Savings Type setting pops error,"Access SPD, create a project with Savings Type ‘Logistics, Cash Only Savings’. Url: http://spd2.konenet.com/ To check the issue, login the database. Test: 10.41.148.235\SEKO60Q,51018 Prod: 10.39.67.11\SEKO021P,51001 Check the table ‘ValueLists’ and ‘SavingsHierarchy’ if there are entries with SavingsType ‘Logistics, Cash Only Savings’ using the below query. select * from [SAVINGSHIERARCHY] where SavingsType = 'Logistics, Cash Only Savings' select * from ValueLists where type = 'SavingsType' and code like '%logistics%' As seen in the above screenshot ID 249 is mapped with duplicate Logistics, EBITDA Savings SavingsType due which the error popped up. Now update the table using the below query after which the issue will be fixed. update [ValueLists] set Code = 'Logistics, Cash Only Savings' , Description = 'Logistics, Cash Only Savings' where ID = 249",
KB00031326,Why Material is not shown in PDM?,Instructions on addressing missing material results under the “Configurations” filter.,"Step 1: Open the WebUI Material Search Page. Step 2: Enter the required Material ID in the search field and Search. Step 3: Check the dropdown for search criteria. If Configurations is selected, the system will only return materials that include configuration variants. Step 4: Since the material does not have configuration information, switch the criteria to All: Select All from the dropdown list. Step 5: Click the Search icon. Step 6: The system will now display the material successfully under the Material results section. Additional Notes: Use Configurations only when searching for materials that specifically include configuration variants. For general or non‑configurable materials, always use All or Material as search criteria.",
KB00031327,Structure not shown in pdm below to the Binder or Section Why?,Guidance for End user to resolve the structure missing issue in PDM,"Step 1: Open the Binder Structure Tab Navigate to the Structure tab of the selected Binder to review its hierarchical components. Step 2: Check the Current View Setting In the upper‑right corner of the Structure panel, verify the View dropdown. If the view is set to Product_Structure, the BOM may not appear or expand (as shown in the first image). Step 3: Change the View Click the View dropdown and select an alternative view such as: All forward All backward Any other structure view relevant to BOM visibility This action reloads the structure tree with expanded content. Step 4: Confirm BOM Structure Visibility After changing the view, the BOM structure should now be accessible and expandable. You should be able to see all hierarchical items and subcomponents (as shown in the second image).",
KB00031328,How to create distribution list in MyAccess portal,"This document explains how to create and manage distribution lists as a self-service in MyAccess, detailing the steps to create roles, assign owners and approvers, set descriptions, and configure role properties such as validity and notifications. It emphasizes the necessity of having at least two owners and approvers, and outlines options like making roles non-requestable or setting end dates. The document also highlights business responsibilities including ownership accountability, applying least privilege principles, maintaining accuracy, compliance with policies.","How to create distribution list in MyAccess as a self-service If you do not own any role (role owner) you need to request MyAccess: Role Owner Rights in MyAccess. Once the role is approved. KONE employees can now create distribution list as self-service in MyAccess. If externals need the access of create Role page they will need to request access for MyAccess: Internal like rights-Role. Note that rule based automated distribution lists, distribution list member as other distribution list, bulk member assignments or permissions are requested via ticket in servicenow portal. With this feature you are only able to create distribution list and add members (up to 30) in edit role page. Create distribution list: Navigate the Manage roles --->create roles Business application - Distribution list Role - this will be the actual distribution list name visible to everyone Description - is visible in MyAccess anyone requesting the role Owners -2 owners are always mandatory Comments - if you want users to add any comments whilst requesting the role If you require attachment to be added when requesting the role Role completion notification will be routed to user when request is completed non-requestable will be hiding the role and users won’t be able to see it in MyAccess Role end date - if you want to delete the role Role assignment validity in days - if the role is valid only for certain period You can choose different types of approval options, what suit for the requirements. Each role must have at least 2 approvals. Once you are done with the creation press confirm twice and you should see the notification in MyAccess landing page “ Role creation request is submitted successfully ” You can modify the role after creation in Edit role- page, i.e adding or remove members, modifying display name, approvers or owners. When distribution list is no longer needed schedule deletion in MyAccess-edit roles: Business Responsibilities Ownership: Assign a Distribution list owners and approvers to users who are accountable for its purpose and membership. Security Principles : Apply least privilege—only grant DL access to those who need it for business purposes Accuracy: Provide correct member details and keep them updated. Review: Periodically review DL membership and remove inactive users.",
KB00031329,SPD - How to manually create administration reporting unit in database,SPD - How to manually create administration reporting unit in database,"Login the database. Test: 10.41.148.235\SEKO60Q,51018 Prod: 10.39.67.11\SEKO021P,51001 Use the below query to insert values to reporting unit in database. insert into [Enrich_Unit] values ( '99' , 'ELK-IND' , 'China' , 'KSC' , 'GCN' , 'GCN' , 'ELK-IND' )",
KB00031330,SPD - How to fix the issue which pops up while creating project with newly created unit,SPD - How to fix the issue which pops up while creating project with newly created unit,Debug and check in local what issue pops while creating project with newly created unit. There was mismatch of stored procedure ‘ usp_UpdateProjectData ’ in production and test which caused the issue. Copy the stored procedure from production to test and check again in SPD test by creating project with new unit.,
KB00031332,DOS-IES-Missing (installer / tester / supervisor)Supervisor detail in the List,User (installer / tester / supervisor) details were missing in IES Application.,"We requested to WORKDAY team (create a child ticket) to update the employee details given below ID : Name : mail ID: Once the user details are updated in WORKDAY, the details can be viewed in IES application for assignment.",
KB00031334,How to Bulk Update Draft States in PDM?,"When multiple materials/documents revisions need to be moved to Draft state, performing the update manually one by one is time‑consuming. VariClient provides a bulk-update feature called State Graphs Group Update, which allows users to update the state of multiple material/document revision objects simultaneously.","Approval: 1. Person in charge approval is mandatory. If person in charge not there, kindly seek the approval from the created by Person. 2. If both the person is not in KONE. Initially kindly update the Person-in-charge and then go for the change. It will be helpful for the future cases. Step 1: Search for Materials in Bulk Open Vari Finder / Vari Client. Enter the required filters (e.g., Material numbers, latest revision). Click Find to retrieve the list of materials. The results list will show all matching material objects. Step 2: Select and Copy Materials to Group Update Select all materials in the results list (Ctrl + A). Right‑click on the selected items. Choose Copy Results to Group Update → State Graphs Group Update. Step 3: Update “Unset State Graphs” The Group Update window opens with all selected materials listed on the left. Under State Graphs, select Unset State Graphs. Click Update to apply the change. Step 4: Update “KONE Material Revision” After the first update completes, select KONE Material Revision under State Graphs . Click Update again. Step 5: Materials Moved to Draft State After completing both updates: All selected materials will now be moved to the Draft state. Note: 1. KONE Material Revision is only applicable for the Material 'Revision' level bulk change. 2. This process applicable to both the Material and document as well.",
KB00031335,How to change the manual address in KEO,How to change the manual address in KEO,"Step 1: Go to https://koneeasyorder.kone.com/ Step 2: Select the required product, click “Add and go to cart"" option. Step 3: Update the address in the Cart section. Step 4: Click on “Start Purchase Request.” Once the order is placed, the updated address will be applied successfully.",
KB00031336,MyAccess Ticket Handling Process for PDM Service need translator Tickets - Role Addition,Introduction Instruction to PDM Operational support team to understand the Process of handling PDM Service need translator role addition MyAccess tickets.,"Instructions Approval : No need of Separate Approval because MyAccess ticket triggered after the approval process done. Steps : Step 1) Once MyAccess role was approved, PDM team received the ticket like below. Step 2) Open the User account in PDM and click Edit button to edit the System attributes. Step 3) Add 'translator' Privilege in the Granted Privilege attributes for the User's Account. Step 4) Click save to save the changes. Note: Kindly close the MyAccess provision ticket by choosing ""Closed complete"" .",
KB00031339,MyAccess Ticket Handling Process for PDM Service Need translator Tickets - Role Removal,Introduction Instruction to PDM Operational support team to understand the Process of handling PDM Service Need translator role removal MyAccess tickets.,"Instructions Approval : No need of Separate Approval because MyAccess ticket triggered after the approval process done. Steps : Step 1) Once MyAccess role was requested and completed, PDM team will receive the provision ticket like below. Step 2) Open the User account in PDM and click Edit button to edit the System attributes. Step 3) Remove the translator Privilege in the Granted Privilege attributes for the User's Account. Step 4) Click save to save the changes. Note : 1. Kindly close the MyAccess provision ticket by choosing ""Closed complete"".",
KB00031340,How to get an translator access in pdm ?,Introduction This article helps to End user to apply for the Service Need Manager access through MyAccess.,"Instructions Pre - Requisite : Before you apply for the translator in PDM through MyAccess. You might have an access in PDM. If you don't have the pdm access, please apply by referring the Knowledge article : KB0000A410 Steps to Apply for translator access through MyAccess. Step 1: Login MyAccess - https://myaccess.kone.com/identityiq/home.jsf Step 2: Search for the Role: PDM Service need translator Step 3 : Attach the needed Documents and update the Comments in the attachment section and comment Section. Step 4: Click Submit to submit the Access request. Once Submitted you will get your Access request ID (as shown below). Note: Once the request will be approved, you will get your access.",
KB00031342,KEO - How to check CSV files generated in KEO server,KEO - How to check CSV files generated in KEO server,Login to KEO server in PAM. Test: EUDVMMSAPPGST01 Prod: EUDVMMSAPPGST02 In the below path the generated CSV files will be present unit wise folder. From this we can find the CSV files. D:\Data\EasyOrder\SapTemporaryCsvPath,
KB00031345,MyAccess Ticket Handling Process for PDM Service need reader Tickets - Role Addition,Instruction to PDM Operational support team to understand the Process of handling PDM Service need reader role addition MyAccess tickets.,"Approval : No need of Separate Approval because MyAccess ticket triggered after the approval process done. Steps: Step 1) Once MyAccess role was approved, PDM team received the ticket like below. Step 2) Open the Access control group : ""ACG0001574"" in PDM. Step 3) Click Edit and navigate to Reader and Special reader Section. Step 4) Click Option and search for the name and click Select to add the User name under : ""Reader and Special reader"" category. Step 5) Now click Save button to save the changes to the ACG. Step6) User success fully added to the ACG: ACG0001574 as an 'Reader and Special Reader'. Note: 1. PDM Operational Team might provide the access under ""Reader and Special Reader"" only. Support team might not suppose to provide the Writer and Releaser access for this MyAccess provisioning ticket's. 2. Kindly close the MyAccess provision ticket by choosing ""Closed complete"". 3. If User opened AskIT ticket for this request to obtain Access in ACG: ACG0001574 Please request the User to apply for the role: PDM Service need reader in myaccess and cancel it.",
KB00031346,MyAccess Ticket Handling Process for PDM Service need reader Tickets - Role Removal,Instruction to PDM Operational support team to understand the Process of handling PDM Service need reader role removal MyAccess tickets.,"Steps: Step 1) Once MyAccess role was approved, PDM team received the ticket like below. Step 2) Open the Access control group : ""ACG0001574"" in PDM. Step 3) Click Edit and navigate to Reader and Special reader Section. Step 4) Search for the user ID and remove the User account by clicking ""Remove"" button from both the Reader and Special reader Section of the ACG- ACG0001574 . Step 5) Now click Save button to save the changes to the ACG. Note: 1. Might remove the access from the Reader and Special Reader access alone from the ACG : ACG0001574 2. Kindly close the MyAccess provision ticket by choosing ""Closed complete""",
KB00031347,How to get an PDM Service need reader access in pdm ?,This article helps to End user to apply for the PDM Service need reader access through MyAccess.,"Pre - Requisite: Before you apply for the PDM Service need reader in PDM through MyAccess. You might have an access in PDM. If you don't have the pdm access, please apply by referring the Knowledge article : KB0000A410 Steps Step 1: Login MyAccess - https://myaccess.kone.com/identityiq/home.jsf Step 2: Search for the Role: PDM Service need reader Step 3: Attach the needed Documents and update the Comments in the attachment section and comment Section. Step 4: Once Submitted you will get your Access request ID (as shown below).",
KB00031349,How to get an access to access control group in pdm?,This Knowledge Base Article provides guidance for users who receive an Access Denied error when attempting to open documents protected by an Access Controlled Group (ACG). It explains how to identify the correct approver and submit an access request.,"Steps to get access: 1. When you see an Access Denied message, check the error for the ACG name, Person in Charge (PIC), and Group Modifiers. 2. Identify the group you need access to based on the error message. 3. Click the Person in Charge (PIC) listed in the message. 4. Your email will automatically open with a pre‑drafted access request message. NOTE : Mention the roll you need Reader or writer or releasers access to the document in the mail. 5. Send the email to request access to the ACG. 6. If the Person in charge is unavailable, click on any of the Group Modifiers instead. Once the approver adds you to the group, you will be able to access the document. Note : 1. Kindly refer the below image to gather the different levels of access information. Other way to find the Person in charge to get the access: Step 1: Login epdm Web and search for the ACG. Step 2: Reach Person in charge to get the access.",
KB00031350,ePil - How to check the user role for user in ePil database,ePil - How to check the user role for user in ePil database,"Login to ePil database. Test: 10.41.148.235\SEKO58D,51005 Prod: 10.41.148.208\SEKO086P,50812 Check the table AccessGroups to check the roles. select * from [AccessGroups] Now check the table AccessGroupUsers to find which GroupId is assigned to user. select * from [AccessGroupUsers] where UserId = 'k64065644' For updating the GroupId use the below query. Updating GroupId to 1 will make the user to view the page to add communication. update [AccessGroupUsers] set GroupId = 1 where USERID = 'k64065644'",
KB00031351,ePil - How to check the list of users logged in to ePil,ePil - How to check the list of users logged in to ePil,"Login to ePil database. Test: 10.41.148.235\SEKO58D,51005 Prod: 10.41.148.208\SEKO086P,50812 Check the table AccessGroupUsers to check the list of users logged in to ePil. select * from [dbo] . [AccessGroupUsers]",
KB00031357,How to clean up inactive JAMA users and remove their access?,Guidelines for JAMA - user cleanup This process applies to all internal and external JAMA users and to annual or periodic JAMA user access cleanup activities for compliance and license optimization.,"Roles and Responsibilities: 1.JAMA Admin Team: Finds inactive users, prepares the list, and deactivates them. 2.Software Leadership Team (via Marttila Pekka ): Reviews and approves the list. 3. MyAccess Team: Handles the removal of user access within MyAccess and relevant AD groups. Procedure: 1. Identify Inactive JAMA Users Log in to the JAMA application. Jama PROD & Jama QA Go to Admin → Users → Export to download the complete user list Open the exported Excel file and find the Last Login column. Filter the data to find users whose login activity falls outside the agreed inactivity period Exclude all service accounts and pessaral simulators from the results, as they should not be considered for deactivation. Compile a clean, consolidated list of JAMA users who meet the inactivity criteria. 2.Obtain Software Leadership Approval Share the consolidated inactive user list with Marttila Pekka by email for Software Leadership review and approval. Wait to receive the written approval email that confirms which users are approved for access removal. Proceed with the MyAccess removal request and JAMA deactivation activities only after the formal approval is received 3. Request Access Removal in MyAccess Create a Ask IT ticket in the KONE ASKIT Portal using the Generic Service Request form. Write an email to ( MyAccessSupportTeam@KONE.com ), including both the ASKIT ticket number and the approved inactive user list. Requesting the bulk removal of identified inactive users from MyAccess and Active Directory who are assigned to the following roles: Jama: users , Jama: QA Sandbox users . After the users are removed from MyAccess, the MyAccess team will send a notification either through email or via the ASKIT ticket. Retain the confirmation received from MyAccess as required documentation for audit and compliance purposes. 4. Deactivate Users in JAMA Log in to the JAMA Admin Portal. Go to Admin → Users to access the user management page. For each user on the approved list, perform a search and use the Deactivate option in the Action column. After deactivating, click Edit and then select Clear all user groups and save Verify that the status of each processed user is updated to Inactive in both JAMA production and QA environment.",
KB00031358,How to get access to user group access in PDM?,This Knowledge Base Article explains how to find the correct user group in PDM and how to request access to that group.,"STEPS: 1. Login epdm Production in Variweb using the Link and Search the user group name in Search Engine and click Search. 2. Check who is listed as the Person in Charge (PIC) of the group. 3. Draft an email requesting access to the group. Include a clear and valid business reason in your email. 5. Once the approver adds you to the group, you will receive access automatically. 6. If you do not know the group name, check if any of your colleague has access to the document. 7. Get your colleague’s User ID, search it in PDM, and go to menu and select “Get all direct and indirect user groups” to see their group list. 8. Review the list of user groups your colleague belongs to. 9. Find the correct user group from the list.. Check the Person in Charge (PIC) of that group. 11. Draft an email requesting access to the group. Include a clear and valid business reason in your email. 15. Once the approver adds you to the group, you will receive access automatically. Note: 1. If the PIC is Out of Office or unavailable, reach out to a Group Modifier. Also Open a new AskIT request to update the Valid Person in charge.",
KB00031359,How to Choose the Correct Resolution Code in Incident Management for AskIT tickets?,"This Knowledge Base Article outlines the meaning of each resolution code and provides guidance on when to select them while closing an incident ticket. Using the appropriate resolution code ensures accurate reporting, helps identify recurring issues, and enhances IT service quality. This article has been specifically created by the PDM Team for their internal alignment.","1. No resolution provided Use this only when the issue is closed without a clear action or when no resolution type applies (avoid using unless mandatory). 2. Resolved by caller Select this when the user confirms that the issue is resolved from their end without any action required from IT. 3. 3rd Party Use this if the resolution was completed by an external vendor or third‑party support team. 4. Out of scope Select this when the request does not belong to your team’s responsibility or service area. 5. Resolved as Service Request Use this when the service request instead opened as an incident, but it's actually a Service Request. 6. Resolved – Software Reinstalled Use this when the issue is fixed by reinstalling the application or software. 7. Resolved – Configuration Changed Select this when modifying configuration settings or Configurations of Order changed to resolved the issue. 8. Rebooted/Restarted System/Services Use this when rebooting a system or restarting services fixed the problem. 9. Resolved – Training/Guidance Provided Choose this when the issue is resolved by guiding or training the user, without any technical changes. 10. Resolved – Service Restarted Use this when restarting a specific service fixes the issue. 11. Resolved – Network Restored Select this when the issue is resolved by identifying and fixing a network problem. 12. Resolved – Account Renewed Use this when renewing or extending the user’s account resolves the issue. 13. Resolved – Certificate Renewed Choose this when renewing an expired or invalid certificate resolves the problem. 14. Resolved – Capacity Added Use this when adding additional server capacity (CPU, RAM, storage, etc.) fixes the issue. 15. Resolved – Hardware Replaced/Fixed Select this when the issue is caused by hardware failure and is resolved by repair or replacement. 16. Resolved – Password Reset Use this when resetting the user’s password solves the issue. 17. Resolved – Not Reproducible Choose this only when the issue cannot be reproduced despite testing and investigation. 18. Resolved – Script/Code Fix Select this when modifying or fixing a script/code resolves the problem. 19. Resolved – Upgrade/Patch Use this when the issue is resolved by upgrading the system or applying a patch.",
